,Address,Latitude,Longitude,X,Y,Distance from center
86,"Hẻm 1041 Trần Xuân Soạn, Phường Tân Hưng, Quận 7, Thành phố Hồ Chí Minh, 756912",10.749379454323858,106.69416881730304,685257.385186285,1188779.3851513406,2598.0762113532983
87,"Hẻm 793 Trần Xuân Soạn, Phường Tân Hưng, Quận 7, Thành phố Hồ Chí Minh, 756912",10.749349483210818,106.69965411212343,685857.385186285,1188779.3851513406,2666.458325194659
88,"phuoc long, 137, Lê Văn Lương, Phường Tân Kiểng, Phường Tân Hưng, Quận 7, Thành phố Hồ Chí Minh, 72915",10.749319415326644,106.70513939072116,686457.385186285,1188779.3851513406,2861.8176042508208
89,"Bế Văn Cấm, Phường Tân Kiểng, Quận 7, Thành phố Hồ Chí Minh, 710200",10.749289250672696,106.71062465304395,687057.385186285,1188779.3851513406,3160.6961258558067
90,"Mì Chú Cao, 26 M, Đường số 9M, Phường Tân Thuận Tây, Quận 7, Thành phố Hồ Chí Minh, 756604",10.74925898925034,106.71610989903951,687657.385186285,1188779.3851513406,3536.9478367654656
91,"UBND Phường Tân Thuận Tây, Đường Nguyễn Văn Linh, Phường Tân Thuận Tây, Quận 7, Thành phố Hồ Chí Minh, 756604",10.749228631060937,106.72159512865554,688257.385186285,1188779.3851513406,3968.6269665968744
92,"Hẻm 27 Tân Thuận Tây, Phường Bình Thuận, Quận 7, Thành phố Hồ Chí Minh, 756604",10.749198176105866,106.72708034183978,688857.385186285,1188779.3851513406,4439.5945760846125
93,"Hẻm 118 Bùi Văn Ba, Phường Tân Thuận Đông, Quận 7, Thành phố Hồ Chí Minh, 756604",10.749167624386505,106.73256553853993,689457.385186285,1188779.3851513406,4938.623289946289
94,"Bùi Văn Ba, Phường Tân Thuận Đông, Quận 7, Thành phố Hồ Chí Minh, 756604",10.749136975904232,106.73805071870372,690057.385186285,1188779.3851513406,5458.021619598067
95,"Bùi Văn Ba, Phường Tân Thuận Đông, Quận 7, Thành phố Hồ Chí Minh, 756604",10.749106230660434,106.74353588227886,690657.385186285,1188779.3851513406,5992.4953066314465
96,"Hẻm 3 Lò Siêu, Phường 16, Quận 11, Thành phố Hồ Chí Minh, 750510",10.754327825693569,106.6475686554213,680157.385186285,1189299.0003936114,5507.267925205705
97,"Phường 15, Quận 5, Thành phố Hồ Chí Minh, 750510",10.754298664159366,106.65305417080258,680757.385186285,1189299.0003936114,4956.813492557447
98,"SaigonBank, Đường Hồng Bàng, Phường 11, Quận 5, Thành phố Hồ Chí Minh, 72000",10.754269405799391,106.6585396704045,681357.385186285,1189299.0003936114,4419.27595879682
99,"Xe Phon Linh, Đường Tản Đà, Phường 11, Quận 5, Thành phố Hồ Chí Minh, 72000",10.754240050614955,106.66402515417475,681957.385186285,1189299.0003936114,3899.9999999999427
100,"141, Đường Nguyễn Tri Phương, Phường 8, Quận 5, Thành phố Hồ Chí Minh, 72000",10.754210598607402,106.66951062206105,682557.385186285,1189299.0003936114,3407.3450074800985
101,"Phường 7, Quận 5, Thành phố Hồ Chí Minh, 72000",10.75418104977805,106.6749960740111,683157.385186285,1189299.0003936114,2954.6573405387558
102,"women Cloth shop, Cao Đạt, Phường 1, Quận 5, Thành phố Hồ Chí Minh, 710400",10.754151404128239,106.6804815099726,683757.385186285,1189299.0003936114,2563.2011235951722
103,"Võ Văn Kiệt, Phường 1, Quận 5, Thành phố Hồ Chí Minh, 710400",10.75412166165931,106.68596692989324,684357.385186285,1189299.0003936114,2264.9503305811263
104,"M3, Bến Vân Đồn, Chung cư Khánh Hội 1, Phường 1, Quận 4, Thành phố Hồ Chí Minh, 756912",10.754091822372612,106.69145233372076,684957.385186285,1189299.0003936114,2099.9999999998936
105,"Hẻm 12 Nguyễn Khoái, Phường 2, Quận 4, Thành phố Hồ Chí Minh, 756912",10.754061886269492,106.69693772140285,685557.385186285,1189299.0003936114,2099.9999999998936
106,"Khánh Hội, Phường 4, Quận 4, Thành phố Hồ Chí Minh, 710200",10.754031853351302,106.70242309288719,686157.385186285,1189299.0003936114,2264.9503305811263
107,"Phường 15, Quận 4, Thành phố Hồ Chí Minh, 710200",10.754001723619398,106.70790844812153,686757.385186285,1189299.0003936114,2563.2011235951722
108,"Hẻm 76 Tôn Thất Thuyết, Phường 16, Quận 4, Thành phố Hồ Chí Minh, 8408",10.753971497075147,106.71339378705356,687357.385186285,1189299.0003936114,2954.6573405387558
109,"Kênh Tẻ, Nguyễn Văn Cừ, Phường 2, Quận 5, Thành phố Hồ Chí Minh, 756912",10.753941173719914,106.71887910963099,687957.385186285,1189299.0003936114,3407.3450074800985
110,"Phường Tân Thuận Tây, Phường Tân Thuận Đông, Quận 7, Thành phố Hồ Chí Minh, 8408",10.753910753555074,106.72436441580155,688557.385186285,1189299.0003936114,3899.9999999999427
